Aluno	Grupo	Nota
1	Z	1.0
2	Z	NC
3	Y	9.0
4	Y	1.5
5	Z	8.0
6	Z	NC
7	Y	NC
8	Z	8.5
9	X	5.0
10	X	4.5
11	Z	2.5
12	Y	NC
13	X	8.0
14	Z	9.5
15	Z	3.5
16	Y	5.5
17	Z	8.0
18	Z	1.0
19	Z	NC
20	Z	1.0
21	Z	6.0
22	Z	NC
23	Z	3.0
24	Y	6.5
25	Z	NC
26	Z	NC
27	Z	9.5
28	Y	6.5
29	Y	1.0
30	Y	4.0
31	Y	6.0
32	Y	5.0
33	Y	2.5
34	Y	NC
35	X	5.0
36	X	NC
37	Z	7.5
38	Z	8.5
39	Z	9.0
40	Y	1.0
41	Y	4.0
42	X	5.5
43	X	7.0
44	Z	1.0
45	Z	NC
46	Y	5.0
47	X	2.0
48	Z	4.5
49	Z	4.0
50	X	8.5
51	X	4.5
52	Y	NC
53	Y	7.0
54	Y	NC
55	Y	7.5
56	Y	4.0
57	Y	3.0
58	Y	3.0
59	Y	7.5
60	Y	9.0
61	X	10.0
62	X	4.0
63	X	6.0
64	Z	9.5
65	Z	10.0
66	Z	1.0
67	Z	6.0
68	Z	6.0
69	Z	8.0
70	Z	NC
71	Z	7.5
72	Z	9.5
73	Z	9.0
74	Z	10.0
75	X	6.0
76	X	6.0
77	X	8.5
78	X	2.0
79	Z	NC
80	Z	1.0
81	Z	5.5
82	Z	4.0
83	Z	7.0
84	X	2.0
85	X	NC
86	X	5.5
87	Y	8.5
88	Y	7.5
89	Y	NC
90	Y	7.5
91	Y	3.0
92	Y	4.0
93	Y	6.5
94	Y	7.5
95	Y	7.0
96	Y	2.0
97	Y	3.5
98	Y	4.0
99	Y	3.5
100	Y	4.5
101	Y	6.5
102	X	1.0
103	X	2.0
104	Y	3.0
105	Y	6.5
106	Y	6.0
107	X	3.5
108	Y	2.5
109	Y	7.5
110	X	7.0
111	Y	7.5
